Farmer No.,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,Week19,Week20,Week21,Week22,Week23,Week24,Week25,Week26,Week27,Week28,Week29,Week30,Week31,Week32,Week33,Week34,Week35,Week36,Week37,Week38,Week39,Week40,Week41,Week42,Week43,Week44,Week45,Week46,Week47,Week48,Week49,Week50,Week51,Week52
1,0,0,0,0,0,0,0,0,0,0,"1,034",893,0,"7,527","17,563","26,655","32,993","5,665","7,323","6,018","16,525","24,659","30,973","39,496","37,060","55,975",0,"8,714","16,691","26,294","3,701",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,918","1,882","1,939","1,115"
2,"6,487","10,898","5,133","3,138","3,056","5,293","3,170","2,751",0,"3,333","4,746","11,039","3,275","8,611","3,709","7,025","19,186","18,296","17,370","16,413","23,633","15,950","36,641","25,381","40,219","23,374","25,151","32,583","28,558","26,249","15,298","10,880","5,113",0,"3,145","6,575","4,471",0,0,124,0,"9,083",900,0,"1,931",122,0,"2,704","7,147","5,125","2,589",917
3,"1,289","1,392","1,789","1,319",662,"2,290","1,994","2,527","1,172","3,059","1,819","1,550","2,038","1,782","3,272","2,954","2,212","1,974","3,037",875,882,936,"9,923","3,499","3,959","3,617","17,024","37,461","67,243","63,366","46,199","22,235","4,720",0,"1,145",0,373,0,0,0,0,440,"2,104","2,306","1,206","1,417","1,310","2,153","1,771","3,527","3,665","3,110"
4,"3,844","4,256","3,716","4,511","5,209","7,299","9,899","7,440","1,915","18,215","16,976","1,866","13,996","14,124","45,085","69,116","46,317","72,006","117,000","114,340","92,482","92,769","182,633","173,485","268,467","319,416","309,609","266,754","271,105","325,712","213,065","97,668","113,398","62,815","14,820","22,819","22,738","14,582","14,001","11,098","9,722","12,922","23,350","26,493","1,217","2,791",0,"5,203","7,938","1,909",850,546
5,"3,428","2,346","2,419","2,110","1,569","2,110","1,951",936,169,235,193,0,0,543,"1,382","1,608",661,"1,814","1,793","1,974","1,368","1,440","2,301","3,106","3,637","3,823","3,771","3,789","3,432","2,645","1,975","1,744","1,719",833,680,0,0,0,0,0,211,577,548,"1,216",657,225,357,0,0,181,189,76
6,0,0,0,"1,539",797,0,0,0,0,0,0,0,0,"6,127","40,361","74,700","88,538","58,457","22,943","41,472","116,928","106,190","183,313","162,252","187,720","185,965","168,744","196,788","189,864","240,127","179,921","143,094","96,671","25,896","37,726","65,368","47,562","46,912","28,792","19,271","8,574","6,877","12,555",0,0,0,"15,276","48,559","52,498","44,372","46,721","45,227"
7,"10,771","16,357","14,147","14,839","5,200","1,357","6,563","9,316","6,183","8,935","4,923","2,021","4,063","2,595","2,404","9,101","17,349",513,"4,130","1,437","10,737","4,421","5,951","10,655","23,770","23,927","92,421","96,367","59,270","28,682","76,969","65,466","45,643","13,932","5,526","3,815","2,893",760,0,0,0,0,0,0,0,0,0,"2,186","3,883",0,0,"5,117"
8,"1,202",0,0,238,794,708,747,825,"2,117","14,634","13,581","15,220","7,000","12,459","14,029","14,536","19,129","9,725","12,943","13,450","12,437","10,653","16,447","20,767","18,432","23,850","43,265","34,465","37,680","19,042","41,008","37,176","22,184","11,275","16,832","31,730","4,606",0,0,0,205,0,0,0,0,0,0,"6,555","5,933","7,066","3,015","2,850"
9,0,"37,780","29,793","4,209","12,754","17,438","23,649","27,677","14,255","5,623","1,390","6,468","1,512","1,103","5,148","76,914","34,493","14,698","13,163","15,645","11,336","21,146","13,442","15,303","14,846","15,055","15,572","13,359","16,097","19,117","11,967","13,368","15,456","7,735","6,932","13,605","7,399",0,0,"2,340",725,"4,667",0,0,0,0,0,0,0,"5,001",0,"19,369"
10,"2,502","1,662",856,616,45,206,136,45,0,0,79,75,0,0,0,202,0,0,0,559,"1,997",885,"8,140","19,302","33,424","6,354","11,592","4,888","9,171","9,672","3,194","1,612",823,"1,104","1,155","1,636",223,0,0,91,0,639,0,0,0,0,0,0,577,"1,315",258,"1,686"
11,0,"2,407",934,"1,639","8,641","15,669","13,667","12,997","5,931","12,871","9,770","12,041","13,876","13,904","16,329","16,936","16,862","15,294","17,725","16,480","15,829","14,254","14,319","14,200","14,209","12,818","15,095","15,718","14,145","7,867","11,271","10,503","10,255","12,999","11,717","11,338","5,654","5,232","9,519","9,376","8,085","8,233","10,095","11,590","10,571","3,780","4,097","11,683","9,681","6,121","2,391","9,831"
12,0,"21,298",0,0,0,0,0,0,0,0,0,0,"3,325","86,102","170,051","197,686","250,093","195,674","163,432","198,662","211,442","203,418","234,627","260,031","259,141","195,419","248,634","224,547","260,295","167,044","192,602","157,334","108,127","105,482","30,556","23,897",0,0,0,0,0,0,0,0,0,0,0,0,98,"79,858","41,967","135,879"
13,"3,330","20,632","48,997","26,615","27,791","42,098","69,652","66,293","45,123","108,987","75,277","74,647","68,688","88,805","98,199","97,605","102,821","95,610","90,996","77,741","74,977","69,706","75,871","73,271","70,571","62,704","84,258","77,164","66,110","54,449","71,305","31,794","24,396","14,427","14,251","36,441","62,164","17,714",0,0,516,"11,878",0,0,0,"7,893",0,"6,234","2,884","9,128","7,721","15,823"
14,"15,199","43,975",0,"19,534","16,844","172,623","141,905","148,230","14,533","8,419",0,0,"30,684","80,309","124,578","168,099","114,733","46,639","89,821","71,632",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,013","1,391",0,0
15,"5,851","22,816","21,865","40,584","19,288","39,988","42,961","40,940","19,870","45,515","26,537","27,444","32,445","47,869","46,886","47,866","48,025","47,931","48,883","44,054","34,920","23,767","20,363","22,370","20,365","26,008","21,845","21,255","21,513","23,664","21,971","20,529","22,670","23,708","19,283","24,698","11,539","9,397","8,498","6,313","3,511","4,692","6,834","11,138","8,138",223,"1,741","2,660","5,201","4,405","2,823","4,325"
16,0,0,"2,338","5,472","4,133","25,212","34,432","38,462","19,897","44,409","58,713","67,120","57,970","69,849","84,405","109,306","105,729","92,185","108,329","116,872","94,013","85,779","70,285","32,100","57,025","41,813","69,259","68,159","50,436","36,103","33,776","32,856","19,064","7,582","2,124",0,460,"2,373","5,207","3,025","12,438","24,451","18,964","22,355","9,918","4,258",806,"5,776","9,887","17,839","27,675","26,617"
17,469,171,0,0,0,0,299,0,0,556,755,"1,397","1,056","1,474","1,490","1,221",771,431,537,552,0,419,249,100,94,0,281,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,707,"1,033"
18,"2,387","12,974","16,576","4,475","1,328","6,873","8,440","4,306",422,"3,434","2,329","3,793",541,"10,160","9,442","12,701","6,769","6,891","15,678","32,526","30,860","19,405","18,670","27,225","68,705","61,414","81,538","50,920","58,986","49,121","43,307","46,724","27,993","28,507","17,377","7,610",0,0,0,0,417,589,824,"1,345","2,163","4,668",0,"3,155","2,268","17,402","6,475","2,617"
