Farmer No.,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,Week19,Week20,Week21,Week22,Week23,Week24,Week25,Week26,Week27,Week28,Week29,Week30,Week31,Week32,Week33,Week34,Week35,Week36,Week37,Week38,Week39,Week40,Week41,Week42,Week43,Week44,Week45,Week46,Week47,Week48,Week49,Week50,Week51,Week52,forecasted_week1,forecasted_week2,forecasted_week3,forecasted_week4,forecasted_week5,forecasted_week6,forecasted_week7,forecasted_week8,forecasted_week9,forecasted_week10,forecasted_week11,forecasted_week12,forecasted_week13,Error,Missing Weeks,Uncertainity Score,Certainity Score,Novelity Score,Mean Forecasted Revenue,Value Score,Stability Trend Score,Farmer Rating,Eligibility,Loan Amt.
2.0,6487,10898,5133,3138,3056,5293,3170,2751,0,3333,4746,11039,3275,8611,3709,7025,19186,18296,17370,16413,23633,15950,36641,25381,40219,23374,25151,32583,28558,26249,15298,10880,5113,0,3145,6575,4471,0,0,124,0,9083,900,0,1931,122,0,2704,7147,5125,2589,917,916.8817516407017,886.7975277608518,857.7004110241351,829.5580130094335,802.3390080068353,776.0130981485343,750.5509796838351,725.9243103607254,702.1056778777051,679.0685693707579,656.7873419014987,635.2371939136488,614.3941376260647,2887992.0,7,0.05,1.3850453879373628e-07,0.025,756.4121554095944,False,-0.2995425988890653,-0.2745424603845265,False,0.0
3.0,1289,1392,1789,1319,662,2290,1994,2527,1172,3059,1819,1550,2038,1782,3272,2954,2212,1974,3037,875,882,936,9923,3499,3959,3617,17024,37461,67243,63366,46199,22235,4720,0,1145,0,373,0,0,0,0,440,2104,2306,1206,1417,1310,2153,1771,3527,3665,3110,2109.8496118932676,1664.5993270032595,1440.3725002851115,1318.623689301941,1249.4241952483878,1208.982561054318,1184.9433928048684,1170.5056010418036,1161.779478603388,1156.4851227304773,1153.2653527154614,1151.30443660905,1150.1091471940213,15.0,6,0.05,0.02666666666666667,0.028571428571428574,1316.941878191181,False,-0.23189510790521717,-0.17665701266712192,False,0.0
4.0,3844,4256,3716,4511,5209,7299,9899,7440,1915,18215,16976,1866,13996,14124,45085,69116,46317,72006,117000,114340,92482,92769,182633,173485,268467,319416,309609,266754,271105,325712,213065,97668,113398,62815,14820,22819,22738,14582,14001,11098,9722,12922,23350,26493,1217,2791,0,5203,7938,1909,850,546,866.0356474834949,839.1360129922027,813.0718987683126,787.8173530050271,763.3472299756671,739.6371649962955,716.6635501660179,694.4035108608055,672.8348829574353,651.9361907648702,631.6866256411037,612.0660252741802,593.0548536067608,23978.0,1,0.05,1.668195846192343e-05,0.1,721.6685343455518,False,-0.29959068517971976,-0.19957400322125782,False,0.0
5.0,3428,2346,2419,2110,1569,2110,1951,936,169,235,193,0,0,543,1382,1608,661,1814,1793,1974,1368,1440,2301,3106,3637,3823,3771,3789,3432,2645,1975,1744,1719,833,680,0,0,0,0,0,211,577,548,1216,657,225,357,0,0,181,189,76,352.55657661747836,602.755353586421,389.09784999604324,445.47873515225336,503.4645761539109,401.87217014315667,361.60090895292916,362.2619348640763,339.1839162088267,324.233721226901,327.6378704685074,328.95218227415904,328.81103033094143,206.0,9,0.05,0.0019417475728155341,0.02,389.83898661350815,False,-0.19259799455533963,-0.1706562469825241,False,0.0
11.0,0,2407,934,1639,8641,15669,13667,12997,5931,12871,9770,12041,13876,13904,16329,16936,16862,15294,17725,16480,15829,14254,14319,14200,14209,12818,15095,15718,14145,7867,11271,10503,10255,12999,11717,11338,5654,5232,9519,9376,8085,8233,10095,11590,10571,3780,4097,11683,9681,6121,2391,9831,12739.151977610958,7291.914081346636,7291.914081346636,7291.914081346636,7291.914081346636,7291.914081346636,7291.914081346636,7291.914081346636,7291.914081346636,7291.914081346636,7291.914081346636,7291.914081346636,7291.914081346636,1.0,1,0.4,0.4,0.1,7710.932381059276,False,-0.13887301496588272,0.36112698503411733,False,0.0
13.0,3330,20632,48997,26615,27791,42098,69652,66293,45123,108987,75277,74647,68688,88805,98199,97605,102821,95610,90996,77741,74977,69706,75871,73271,70571,62704,84258,77164,66110,54449,71305,31794,24396,14427,14251,36441,62164,17714,0,0,516,11878,0,0,0,7893,0,6234,2884,9128,7721,15823,13332.459463882738,12005.860236885046,11260.270044230794,10827.178017988434,10570.492406396734,10416.477288235994,10323.368735815726,10266.821447865064,10232.382121807592,10211.371248953934,10198.539371301602,10190.697573031084,10185.903418840559,33428032485.0,6,0.05,1.1966004884657513e-11,0.028571428571428574,10770.909336556562,False,-0.2386667834370086,-0.210095354853614,False,0.0
15.0,5851,22816,21865,40584,19288,39988,42961,40940,19870,45515,26537,27444,32445,47869,46886,47866,48025,47931,48883,44054,34920,23767,20363,22370,20365,26008,21845,21255,21513,23664,21971,20529,22670,23708,19283,24698,11539,9397,8498,6313,3511,4692,6834,11138,8138,223,1741,2660,5201,4405,2823,4325,3450.301582344988,3358.7117576481796,3269.5532265029024,3182.7614491160803,3098.273598932799,3016.0285171576165,2935.9666684831336,2858.030097993758,2782.1623892134917,2708.30862326735,2636.415339126862,2566.4304949108714,2498.303430213627,4.0,0,0.1,0.1,0.2,2950.8651673008962,False,-0.29970214564328646,0.00029785435671356164,False,0.0
16.0,0,0,2338,5472,4133,25212,34432,38462,19897,44409,58713,67120,57970,69849,84405,109306,105729,92185,108329,116872,94013,85779,70285,32100,57025,41813,69259,68159,50436,36103,33776,32856,19064,7582,2124,0,460,2373,5207,3025,12438,24451,18964,22355,9918,4258,806,5776,9887,17839,27675,26617,16707.593060906023,11360.046397999608,10921.639240851997,10921.639240851997,10921.639240851997,10921.639240851997,10921.639240851997,10921.639240851997,10921.639240851997,10921.639240851997,10921.639240851997,10921.639240851997,10921.639240851997,2.0,3,0.3,0.2,0.05,11400.436239098279,False,-0.1481528620400145,0.10184713795998553,False,0.0
18.0,2387,12974,16576,4475,1328,6873,8440,4306,422,3434,2329,3793,541,10160,9442,12701,6769,6891,15678,32526,30860,19405,18670,27225,68705,61414,81538,50920,58986,49121,43307,46724,27993,28507,17377,7610,0,0,0,0,417,589,824,1345,2163,4668,0,3155,2268,17402,6475,2617,2828.7028991588286,2978.6482000388896,3083.0970638999293,3154.8215256127473,3203.6064548975914,3236.577799152105,3258.7669346447306,3273.657501076354,3283.631269052879,3290.303302652071,3294.762850032248,3297.741907212277,3299.731223067402,68120.0,5,0.05,5.871990604815033e-06,0.03333333333333333,3191.080686961389,False,0.2583809958441417,0.29172020116807984,False,0.0
19.0,1898,5133,5549,4730,2531,11965,23736,28502,14934,14749,9613,20442,19869,24782,22630,21551,24555,9311,20598,21756,21816,17580,20814,23001,23788,22544,20910,25441,26257,26406,28877,18487,27303,13867,9303,29414,20062,4588,4063,6357,6240,4110,3591,409,4983,6301,11082,9619,8779,16466,8787,5371,6634.207986221261,7666.5364279002615,8465.315750044103,9060.273565283165,9491.972651509373,9799.637051629783,10016.21973725947,10167.402308563442,10272.323828475715,10344.851420162682,10394.850282262403,10429.254125820738,10452.896911439495,3.0,0,0.2,0.13333333333333333,0.2,9476.595542043991,False,0.26687256305465135,0.6002058963879846,True,36959.0
20.0,16737,80094,85153,78569,41315,53345,59079,11156,0,3841,6978,7303,4607,12767,46745,51271,55796,46859,41813,34350,118512,85177,240932,221982,153667,96126,157281,249537,245961,237803,231600,133703,42968,0,0,2678,0,0,0,0,0,928,1814,2239,2195,2273,456,1356,2670,3248,1834,2284,2826.6271419192462,3286.336273612945,3656.554451712592,3943.786721122063,4160.812961682861,4321.742815948854,4439.497704848611,4524.851458690732,4586.307062873696,4630.346516757516,4661.799643801868,4684.210185076424,4700.150934254348,22.0,8,0.05,0.018181818181818184,0.022222222222222223,4186.38645171552,False,0.27229729015380266,0.31270133055784305,False,0.0
21.0,3612,2840,6355,6395,4036,7780,7997,7587,3531,10138,10521,12808,5748,27811,22325,26439,24013,23498,31584,35561,50364,32888,37615,38577,26718,21770,28257,34980,16202,21829,12614,29776,22243,38396,31639,24317,36019,17943,2823,12052,8278,5020,6963,7558,2528,0,0,0,0,0,0,5924,5678.947841020461,5481.172167670103,5321.1798940533845,5191.05858357987,5084.757134617993,4997.590121528862,4925.88986024274,4866.757921573068,4817.8847927882325,4777.417024448344,4743.857989341602,4715.992790389259,4692.830765207587,56378.0,6,0.05,7.09496612153677e-06,0.028571428571428574,5022.718222035501,False,-0.28582059452492176,-0.2572420709873716,False,0.0
